Exposure,Sample_type,Organism,Full_ID,Station,Group,Individual,Length_mm,Width_mm,Height_mm,Lab_weight,Bag_weight,Final_Weight,Comments
Post,Freezer  ,Pacific,MID-P1-01,MID,P1,1,28.4,,,5.9096,1.9054,4.0042,
Post,Freezer  ,Pacific,MID-P1-02,MID,P1,2,29.9,,,5.9638,1.9054,4.0584,
Post,Freezer  ,Pacific,MID-P1-03,MID,P1,3,33.35,,,6.7846,1.9054,4.8792,
Post,Freezer  ,Pacific,MID-P1-04,MID,P1,4,43.5,,,9.0509,1.9054,7.1455,
Post,Freezer  ,Pacific,MID-P1-05,MID,P1,5,34.9,,,5.3632,1.9054,3.4578,
Post,Freezer  ,Pacific,MID-P1-06,MID,P1,6,32.95,,,7.1658,1.9054,5.2604,
Post,Freezer  ,Pacific,MID-P1-07,MID,P1,7,40.25,,,8.5497,1.9054,6.6443,
Post,Freezer  ,Pacific,MID-P1-08,MID,P1,8,38.25,,,7.3092,1.9054,5.4038,
Post,Freezer  ,Pacific,MID-P1-09,MID,P1,9,36.3,,,6.3905,1.9054,4.4851,
Post,Freezer  ,Olympia,OUT-O3-01,OUT,O3,1,17.2,,,2.612,1.9054,0.7066,
Post,Freezer  ,Olympia,OUT-O3-02,OUT,O3,2,24.15,,,3.6988,1.9054,1.7934,
Post,Freezer  ,Olympia,OUT-O3-03,OUT,O3,3,19.7,,,3.2623,1.9054,1.3569,
Post,Freezer  ,Olympia,OUT-O3-04,OUT,O3,4,17.65,,,2.9335,1.9054,1.0281,
Post,Freezer  ,Olympia,OUT-O3-05,OUT,O3,5,20.1,,,2.9118,1.9054,1.0064,
Post,Freezer  ,Olympia,OUT-O3-06,OUT,O3,6,17.7,,,2.7445,1.9054,0.8391,
Post,Freezer  ,Olympia,OUT-O3-07,OUT,O3,7,23.6,,,3.6722,1.9054,1.7668,
Post,Freezer  ,Olympia,OUT-O3-08,OUT,O3,8,21.85,,,3.2733,1.9054,1.3679,
Post,Freezer  ,Olympia,OUT-O3-09,OUT,O3,9,17,,,2.63,1.9054,0.7246,
Post,Freezer  ,Olympia,OUT-O3-10,OUT,O3,10,22,,,3.0632,1.9054,1.1578,
Post,Freezer  ,Olympia,OUT-O3-11,OUT,O3,11,22.45,,,3.391,1.9054,1.4856,
Post,Freezer  ,Olympia,OUT-O3-12,OUT,O3,12,18.05,,,2.8601,1.9054,0.9547,
Post,Freezer  ,Pacific,EDG-P3-01,EDG,P3,1,33.4,,,6.0148,1.9054,4.1094,
